Offense type,Incidents,Offenses,Victims,"Known
Offenders"
Total,6121,7321,7615,5770
Crimes against persons:,3765,4720,4720,4353
Murder and nonnegligent manslaughter,5,9,9,9
Rape (revised definition),24,24,24,29
Rape (legacy definition),0,0,0,0
Aggravated assault,684,873,873,1031
Simple assault,1458,1687,1687,1857
Intimidation,1577,2109,2109,1409 
Other,17,18,18,18
Crimes against property:,2519,2519,2813,1618
Robbery,134,134,163,249
Burglary,123,123,138,87
Larceny-theft,231,231,253,173
Motor vehicle theft,20,20,21,14
Arson,39,39,51,33
Destruction/damage/vandalism,1913,1913,2122,1015
Other,59,59,65,47
