STATE,TOTAL_OFFENSES,POPULATION
Alabama,17,4860545
Alaska,13,741522
Arizona,291,6908642
Arkansas,15,2988231
California,1142,39296476
Colorado,126,5530105
Connecticut,124,3587685
Delaware,19,952698
District of Columbia,127,684336
Florida,110,20656589
Georgia,46,10313620
Idaho,35,1680026
Illinois,122,12835726
Indiana,163,6634007
Iowa,21,3130869
Kansas,70,2907731
Kentucky,241,4436113
Louisiana,33,4686157
Maine,45,1330232
Maryland,40,6024752
Massachusetts,444,6823721
Michigan,459,9933445
Minnesota,165,5525050
Mississippi,10,2985415
Missouri,114,6091176
Montana,20,1038656
Nebraska,35,1907603
Nevada,49,2939254
New Hampshire,40,1335015
New Jersey,308,8978416
New Mexico,36,2085432
New York,598,19836286
North Carolina,208,10156689
North Dakota,8,755548
Ohio,508,11622554
Oklahoma,35,3921207
Oregon,122,4085989
Pennsylvania,67,12787085
Rhode Island,13,1057566
South Carolina,23,4959822
South Dakota,21,861542
Tennessee,190,6649404
Texas,224,27904862
Utah,72,3044321
Vermont,26,623354
Virginia,150,8414380
Washington,482,7280934
West Virginia,48,1828637
Wisconsin,42,5772917
Wyoming,4,584910
