"id","order","score","weight","color","label","total"
"FIS",1.8,59,0.5,"#9E0041","Murder",6604
"MAR",1.9,24,0.5,"#C32F4B","Rape",6604
"AO",2,699,1,"#E1514B","Aggravated Assault",6604
"CP",5,124,1,"#FEC574","Robbery",6604
"TR",6,137,1,"#FAE38C","Burglary",6604
"CS",4,1700,1,"#FB9F59","Intimidation",6604
"LIV",7.163,77,0.5,"#EAF195","Larceny",6604
"ECO",7.11,88,0.5,"#C7E89E","Motor Theft",6604
"ICO",8.41,60,0.5,"#9CD6A4","Arson",6604
"NP",3,1446,1,"#F47245","Simple Assault",6604
"LSP",8.2465,65,0.5,"#6CC4A4","Vandalism",6604
"CW",9,42,1,"#4D9DB4","Other",6604
"HAB",10.26,88,0.5,"#4776B4","Crimes Against Society",6604
